id,docente,materia,semestre,dimension,calificacion_likert,comentario
31,Prof. Quispe,Programación I,I/2026,Evaluación,5,El sistema de evaluación continua es excelente y motiva al estudio constante
32,Dr. García,Cálculo,I/2026,Evaluación,4,Los criterios de evaluación son claros y se explican desde el inicio del semestre
33,Dr. García,Programación I,I/2026,Comunicación,5,Siempre está disponible para resolver dudas fuera del horario de clase
34,Lic. Mendoza,Cálculo,I/2026,Comunicación,5,Responde rápidamente las consultas y dudas de todos los estudiantes
35,Ing. Flores,Física General,I/2026,Comunicación,4,Es accesible y amable cuando se le hace alguna consulta fuera de horario
36,Dra. Vargas,Estadística,I/2026,Comunicación,4,Tiene muy buena comunicación y genera confianza en los estudiantes del curso
37,Prof. Quispe,Algoritmos,I/2026,Comunicación,5,Se puede contactar fácilmente y siempre atiende las dudas con paciencia
38,Dr. García,Algoritmos,I/2026,Comunicación,1,Nunca responde los mensajes ni las consultas enviadas fuera de clase
39,Lic. Mendoza,Estadística,I/2026,Comunicación,2,Es muy difícil contactarlo y no atiende bien las dudas de los estudiantes
40,Ing. Flores,Cálculo,I/2026,Comunicación,2,El trato con los estudiantes es frío y distante no fomenta la participación
41,Dra. Vargas,Programación I,I/2026,Comunicación,1,Ignora las preguntas en clase y no atiende bien las dudas de los alumnos
42,Prof. Quispe,Física General,I/2026,Comunicación,3,Atiende las consultas pero a veces tarda mucho en responder los mensajes
43,Dr. García,Estadística,I/2026,Comunicación,5,Es muy empático con las dificultades de los estudiantes y siempre ayuda
44,Lic. Mendoza,Física General,I/2026,Comunicación,4,La comunicación con el docente es muy buena y responde oportunamente
45,Ing. Flores,Algoritmos,I/2026,Comunicación,3,La comunicación es regular podría ser más accesible para consultas
46,Dra. Vargas,Cálculo,I/2026,Comunicación,2,No atiende bien las dudas y es poco accesible fuera de la clase
47,Prof. Quispe,Programación I,I/2026,Comunicación,5,Excelente comunicación con los estudiantes siempre dispuesto a ayudar
48,Dr. García,Cálculo,I/2026,Comunicación,4,Responde bien las consultas y está atento a las necesidades del grupo
49,Dr. García,Programación I,I/2026,Puntualidad,5,Siempre llega puntual y respeta el horario establecido para todas las clases
50,Lic. Mendoza,Cálculo,I/2026,Puntualidad,5,Es muy organizado con el tiempo y nunca ha faltado a ninguna clase
51,Ing. Flores,Física General,I/2026,Puntualidad,4,Cumple bien con el horario y aprovecha cada minuto de la clase
52,Dra. Vargas,Estadística,I/2026,Puntualidad,4,Su puntualidad y responsabilidad son muy ejemplares para los estudiantes
53,Prof. Quispe,Algoritmos,I/2026,Puntualidad,5,Nunca ha faltado ni llegado tarde lo que demuestra su compromiso docente
54,Dr. García,Algoritmos,I/2026,Puntualidad,1,Llega tarde a la mayoría de las clases a veces con hasta treinta minutos de retraso
55,Lic. Mendoza,Estadística,I/2026,Puntualidad,2,Ha faltado varias veces sin previo aviso afectando mucho el avance del curso
56,Ing. Flores,Cálculo,I/2026,Puntualidad,2,No cumple con el horario establecido y desperdicia tiempo valioso de clase
57,Dra. Vargas,Programación I,I/2026,Puntualidad,1,Sus ausencias frecuentes perjudican el desarrollo del contenido del curso
58,Prof. Quispe,Física General,I/2026,Puntualidad,3,A veces llega un poco tarde pero en general cumple bastante bien con el horario
59,Dr. García,Estadística,I/2026,Puntualidad,5,Siempre puntual y preparado para iniciar la clase exactamente a la hora
60,Lic. Mendoza,Física General,I/2026,Puntualidad,4,La asistencia y puntualidad del docente son muy buenas durante el semestre
61,Ing. Flores,Algoritmos,I/2026,Puntualidad,3,La asistencia es regular tiene algunas ausencias a lo largo del semestre
62,Dra. Vargas,Cálculo,I/2026,Puntualidad,2,Llega tarde y a veces sale antes de completar el tiempo completo de clase
63,Prof. Quispe,Programación I,I/2026,Puntualidad,5,Respeta el tiempo de los estudiantes con su puntualidad ejemplar siempre
64,Dr. García,Cálculo,I/2026,Puntualidad,4,Muy responsable con su asistencia y cumple con todo el horario planificado
65,Dr. García,Programación I,I/2026,Material,5,Comparte apuntes y presentaciones muy bien elaboradas y muy bien organizadas
66,Lic. Mendoza,Cálculo,I/2026,Material,5,El material de estudio que proporciona es de excelente calidad y muy útil
67,Ing. Flores,Física General,I/2026,Material,4,Las presentaciones son claras y el material complementario resulta muy útil
68,Dra. Vargas,Estadística,I/2026,Material,4,Sube los recursos digitales a tiempo y son de buena calidad para estudiar
69,Prof. Quispe,Algoritmos,I/2026,Material,5,Proporciona guías y resúmenes que facilitan mucho el estudio para los exámenes
70,Dr. García,Algoritmos,I/2026,Material,1,No comparte ningún material ni apuntes de las clases dictadas en el semestre
71,Lic. Mendoza,Estadística,I/2026,Material,2,Las presentaciones son difíciles de entender y están muy mal organizadas
72,Ing. Flores,Cálculo,I/2026,Material,2,Faltan ejercicios prácticos para reforzar los temas vistos en clase
73,Dra. Vargas,Programación I,I/2026,Material,1,El material está desactualizado y es muy insuficiente para preparar los exámenes
74,Prof. Quispe,Física General,I/2026,Material,3,El material es básico pero cumple con lo mínimo necesario para la materia
75,Dr. García,Estadística,I/2026,Material,5,Los ejercicios prácticos y recursos digitales que comparte son de alta calidad
76,Lic. Mendoza,Física General,I/2026,Material,4,Comparte bibliografía actualizada y material complementario muy valioso
77,Ing. Flores,Algoritmos,I/2026,Material,3,Comparte algunas presentaciones pero faltan más ejercicios de práctica
78,Dra. Vargas,Cálculo,I/2026,Material,2,No sube el material a tiempo y eso dificulta mucho la preparación para exámenes
79,Prof. Quispe,Programación I,I/2026,Material,5,El material de apoyo está muy bien estructurado y cubre todo el contenido
80,Dr. García,Cálculo,I/2026,Material,4,Las presentaciones y apuntes que comparte son claros y muy bien preparados
